Id;Name;Country;CountryCode;Domain;WebPage;Localization;Abbreviations;CreationDate;UpdateDate;CreatedByUserId;UpdatedByUserId;Deleted;Actualizar universidade;Actualizar faculdade;Actualizar flag (F / V);"Eliminar universidade (""x"")";"Not Listed Institution (""x"")";"Eliminar faculdades (""x"")";"Mudar API List Name (""x"")";=;Fuzzy LookUp Match All Universities -- API LIST
199ac1bf-48c0-4495-bb13-87dd04c85972;Universidade de Lisboa - Faculdade de Ciências;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade de Lisboa
13fae593-5513-4997-afd9-88038738c24c;Universidade do Algarve - Instituto Superior de Engenharia;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade do Algarve
37dd3d9f-9cbc-4eaa-96e9-887b5bbbcfe6;EAE Business School;;;;;;;44489.3701;;;;VERDADEIRO;;;F;;;;;N;
3a85742e-3de2-49f7-b705-889038759d02;Unigran Europa;;;;;;;44444.85111;;;;FALSO;;;;x;;;;N;
ced871ba-da1e-4f76-bee9-88e855cecfaf;University of Lincoln;;;;;;;44516.98494;;;;VERDADEIRO;;;F;;;;;Y;University of Lincoln
ce43a3e5-5372-401c-b93e-891b133c1463;Akademia Leona Koźmińskiego (Kozminski University);;;;;;;44521.86833;;;;VERDADEIRO;Kozminski University;;F;;;;;N;
3bce3dc0-17a2-4250-b16e-897b97c59780;Universidade de Lisboa - Faculdade de Medicina Veterinária;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade de Lisboa
bdf1b7c6-63df-4038-a613-8a964beb088e;Escola Superior de Educação de Viseu;;;;;;;44444.85111;;;;FALSO;Instituto Politécnico de Viseu;Escola Superior de Educação;;;;;;N;
1f155524-53d2-4226-9b35-8aea4c95514f;Universidade Lusófona de Humanidades e Tecnologias;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Universidade Lusófona de Humanidades e Technologias
6e73ea74-cdd1-4d60-9bb2-8aed3994cc07;Instituto Politécnico Jean Piaget do Sul - Escola Superior de Tecnologia e Gestão Jean Piaget;;;;;;;44444.85111;;;;FALSO;Instituto Politécnico Jean Piaget;;;;;;x;N;Instituto Piaget
453f6801-43bc-4fee-a515-8b85b41c4550;Universidade da Madeira - Escola Superior de Tecnologias e Gestão;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade da Madeira
